TRA05,SEXEP,SUTOT,CHAFF,TAXES
6,2,27,252693.68,0
9,1,19,104250,55
4,1,28,806411.46,0
8,1,18,302128.7,655
7,1,12,112354.74,0
5,1,29,283092,2190
8,1,12,1579773,1788
10,1,7,518943,2729
9,1,14,10515,180
10,1,14,93263.36,1343
7,1,13,71154.72,333
9,1,2,152291,0
8,1,18,614805,0
8,1,11,483944.89,0
7,1,16,293100.78,0
9,1,3,132602.92,2561.25
11,2,14,106592.77,0
10,2,13,94768.48,1310.23
9,1,19,430386.77,162
9,1,13,192323.99,0
9,1,12,300513,0
6,1,22,388717,180
10,1,1,79628,0
8,1,22,233427,0
6,1,16,543085,0
10,1,9,115994,0
4,1,22,427214,0
9,1,22,213794,0
9,1,17,349473,0
9,2,18,144010.16,0
9,1,29,338311.18,1348
10,1,15,93472.91,831.43
3,1,27,220595.97,0
9,1,26,163047.79,0
8,1,26,319188.5,197
9,1,25,178710.38,0
10,1,4,1507025.96,0
9,1,1,198547,0
9,1,10,124627.11,458
8,1,1,105552,0
14,2,13,394894.24,0
11,1,6,58392.37,5460
9,1,23,325023.63,0
6,1,5,95577,0
10,1,15,749943.55,0
4,1,12,135380.54,0
4,1,28,503123,50
5,1,28,676761,196
10,1,12,130089.28,1072.09
5,1,28,284895,0
10,1,22,190440.36,1116.58
7,1,14,110121,274
8,1,28,472517.97,0
9,1,27,661363.08,0
9,1,27,420223.24,108
8,1,26,528716.03,13
8,2,27,280807,0
9,1,15,281931,269
8,1,13,261114,0
9,1,16,87659.58,0
8,1,19,251173.23,0
6,1,12,344192,0
7,1,17,100838.26,0
6,1,13,137774,2259
8,1,24,518397,43
10,1,22,178998,0
6,1,26,154910,0
7,1,6,701917,0
9,1,1,586312,189
8,1,9,260308.3,0
7,1,6,69298,437
7,1,14,209811,1809
8,1,12,314707,183
9,1,22,241195,188
7,1,26,743099,62
9,2,11,174216,2129
9,2,7,273689,1494
9,1,2,130688,90
6,2,4,78464,0
8,1,12,4499985,4962
10,0,5,156386,0
4,1,26,394444.03,127
7,2,20,347937.78,0
9,1,22,151775.3,0
9,1,26,329623,0
9,1,15,303178,0
8,1,5,103706.47,0
4,1,11,70187,0
7,1,11,84407,272
9,1,19,148368,0
6,1,21,148538.78,0
9,2,13,171586,136
8,1,9,49663,1086
6,1,19,259065,0
9,1,18,286009,0
4,1,13,101705,0
11,1,16,93437.88,0
8,1,17,258147.05,0
9,1,1,91349.54,979
7,1,27,362624,811
6,1,15,522963.16,0
10,1,23,132392.89,0
7,1,15,204986.79,0
6,1,20,430107,154
7,1,25,310802.08,0
10,1,2,179446,932
8,1,26,194550,317
7,1,13,94226.87,1072
8,1,4,271399,908
9,1,4,100770,0
11,1,19,165391,0
8,1,15,154067.48,299.16
10,2,7,94955,2315
6,2,15,54552.89,0
9,1,18,172783,0
9,2,16,111297,0
7,1,3,852501.21,0
9,2,26,366113.21,0
4,1,24,174472.88,0
10,1,22,138392,920
9,1,11,101847,691
4,1,12,328891,0
7,1,14,115060,0
10,1,13,18088,0
8,1,21,234413.6,10
8,1,22,185174.18,73
9,2,26,263992,20
4,2,16,47439.07,447
9,1,27,306668.36,0
10,1,1,203616.05,0
9,1,7,213828,94
8,1,11,40740,0
8,1,4,202859,0
8,1,17,275845,0
10,1,18,154009,0
10,1,8,61563,282
9,1,8,54773,546
10,2,14,165445,163
5,1,20,220766.52,436
7,1,27,196452,0
8,1,27,639007,0
10,1,17,333896,0
11,1,19,147796,0
8,1,29,542335,0
10,1,3,35583,677
9,1,27,425137.49,0
8,1,25,484095,244
9,2,5,188362,1073
9,1,19,114068,0
9,1,10,114448.52,0
9,1,26,463661,0
9,1,17,167168,0
9,1,7,59908.71,1971
4,1,16,681417,0
5,2,26,412510,0
10,1,13,81693.03,0
10,1,17,151708,0
6,2,27,210825.62,124
5,1,28,275691.8,0
9,2,16,95263,920
7,1,26,443529,0
8,1,18,359418,89
10,1,22,290985,0
7,1,26,223696,0
8,2,1,240776,0
6,1,4,483279,379
8,1,4,532814,269
7,1,18,197988.02,0
9,1,17,250602.9,0
9,1,13,68382.36,338
8,1,19,264089,0
7,1,27,316592.54,427.47
8,1,20,336707,31
7,1,15,284188,174
7,1,12,193705.43,0
7,1,26,513855.45,0
8,1,16,199112.08,216
9,1,14,59286,859
7,1,15,384570,39
8,1,5,106208,0
8,1,7,484457,5700
9,1,12,202675,0
9,2,5,325225,0
7,1,18,246981.43,0
9,1,13,163748,667
9,1,22,186512,1007
9,1,15,562091,0
8,1,14,118265,0
4,1,14,130735,0
9,2,13,163965,0
10,2,29,122549.87,0
9,1,26,157932.72,0
5,1,26,415494.7,0
10,1,18,113007,292
8,1,16,240326,2832
10,1,12,546895,0
6,1,13,300397,0
7,1,27,352753,0
9,1,28,430830,0
8,0,7,946986,0
